Method,Sequence,GN_Index,Fly_IN_Time (s),Fly_IN_Distance (m),Collection_Time (s),Collection_Distance (m),Fly_Back_Time (s),Fly_Back_Distance (m)
Convex,1,5,11.06,221.28,8.02,0.00,0.00,0.00
Convex,2,4,2.45,49.03,4.17,59.58,0.00,0.00
Convex,3,3,12.27,245.30,6.43,27.24,0.00,0.00
Convex,4,2,0.95,18.91,8.02,0.00,0.00,0.00
Convex,5,7,19.07,381.45,8.02,0.00,0.00,0.00
Convex,6,6,2.63,52.60,8.02,0.00,0.00,0.00
Convex,7,0,30.37,607.40,7.11,11.53,0.00,0.00
Convex,8,1,0.37,7.32,8.02,0.00,18.81,376.27
V-Shaped,1,N/A,10.13,202.62,7.00,140.05,0.00,0.00
V-Shaped,2,N/A,0.00,0.00,9.46,189.26,0.00,0.00
V-Shaped,3,N/A,4.04,80.87,7.29,145.87,0.00,0.00
V-Shaped,4,N/A,3.65,72.93,10.02,200.47,0.00,0.00
V-Shaped,5,N/A,18.68,373.51,8.47,169.45,0.00,0.00
V-Shaped,6,N/A,0.00,0.00,9.53,190.65,0.00,0.00
V-Shaped,7,N/A,20.58,411.64,7.29,145.87,0.00,0.00
V-Shaped,8,N/A,1.30,25.99,6.79,135.74,18.48,369.58
